country_year	iso_code	country	year	co2_per_capita	Birth_rate	agriculture_land	agriculture_value_added	alternative_energy	arable_land	export	forest	fossil_fuel	gdp	industry	mortality	natural_resources	renewable_energy	unemployment	import
Algeria - 2001	DZA	Algeria	2001	2.664	19.257	16.8402092587772	9.74941999421354	0.0162020079850337	3.18380679671165	36.6893054432186	0.677193984230017	99.775682483189	1740.60665427662	41.6161100968912	38.9	21.8573383181309	0.427700012922287	27.3	22.016858787546
Algeria - 2002	DZA	Algeria	2002	2.807	19.27	16.7335645368512	9.22498210721608	0.012708382655507	3.16869179675363	35.5045367079002	0.691427275857146	99.7404291366082	1781.82890798394	40.121182292368	37.8	21.8707750923962	0.514800012111664	25.9	25.6296347395724
Algeria - 2003	DZA	Algeria	2003	2.822	19.557	16.7548514951254	9.81055803710398	0.0568912229230005	3.15051181069302	38.2488294222687	0.705660567484276	99.7316064568209	2103.38129106939	42.3481542731299	36.5	23.4366724065315	0.469099998474121	23.72	23.8759436066455
Algeria - 2004	DZA	Algeria	2004	2.687	20.077	17.27518536868	9.44047738886738	0.0523815709512031	3.14601929681661	40.0532239019033	0.719893859111406	99.7379391339997	2610.18542243488	44.0391360255464	35.1	25.0682294389674	0.441799998283386	17.65	25.6481979445179
Algeria - 2005	DZA	Algeria	2005	3.212	20.774	17.3028962019364	7.69131487186431	0.115716744684923	3.15357679679562	47.2051950916585	0.734127150738536	99.6103138329027	3113.09488313746	49.8701398997935	33.6	32.4390136534467	0.584699988365173	15.27	24.0734058680896
Algeria - 2006	DZA	Algeria	2006	2.979	21.582	17.2903003686381	7.54307759118363	0.0405603028910296	3.13636249128788	48.8106865549172	0.748360442365665	99.7400186289448	3478.71000237566	50.9526401741971	32.1	34.4121613871557	0.408699989318848	12.27	21.9193258803364
Algeria - 2007	DZA	Algeria	2007	3.173	22.424	17.3201105074441	7.57062579400626	0.0397035962872306	3.13594263017794	47.0681648423813	0.762593733992795	99.7520839062203	3950.5129931247	48.8523114683532	30.8	32.4649336907739	0.411399990320206	13.79	24.869964201424
Algeria - 2008	DZA	Algeria	2008	3.139	23.226	17.344042590711	6.58667599204035	0.0486088218511782	3.14433985237683	47.9733430015871	0.776827025619925	99.8211363460024	4923.63161541179	49.9577496825341	29.5	34.2524901572945	0.300599992275238	11.33	28.7111751636951
Algeria - 2009	DZA	Algeria	2009	3.401	23.932	17.3738527295171	9.34336541090136	0.0468007217940375	3.14601929681661	35.3716518568122	0.791060317247055	99.8106194648149	3883.27090043586	36.915547463013	28.4	24.5341914591593	0.312400013208389	10.16	35.9526786901116
Algeria - 2010	DZA	Algeria	2010	3.275	24.504	17.3713335628574	8.46644357650095	0.0273189484600289	3.14979804680612	38.4445473501205	0.805293608874184	99.8478347914606	4480.78631766464	40.0094850012892	27.4	26.2828919675805	0.258100003004074	9.96	31.4221139127473
Algeria - 2011	DZA	Algeria	2011	3.268	24.934	17.3772116183966	8.1105898797768	0.0722877221411679	3.14979804680612	38.7881186400386	0.808484553309765	99.8874756325738	5455.67940349747	40.4856293971182	26.7	31.0528054373846	0.177300006151199	9.96	28.6861830923084
Angola - 2000	AGO	Angola	2000	0.58	48.15	37.6685569904548	5.66468956353548	0.873405083422169	2.40635277131627	89.6858311851382	62.3314430095452	25.2200519176355	556.838631674927	72.1229549419033	203.9	55.4500727870234	73.4411010742188	3.87	62.8612782697202
Angola - 2001	AGO	Angola	2001	0.571	48.027	38.1137811823213	8.15637702246655	0.933955926843142	2.40635277131627	75.38894373114	61.8862188176787	26.6792999769536	527.333528536691	64.8838115415289	197.8	38.4344266558981	72.3373031616211	3.85	74.946850958953
Angola - 2002	AGO	Angola	2002	0.719	47.911	38.5590053741879	5.8395499748266	1.00205331935022	2.48656453036015	57.0849959046266	61.4409946258121	28.1478041542876	872.494441791273	56.0757965388459	190.9	27.693386840627	70.4209976196289	3.88	48.2167466955221
