"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3327370304114","60.1204668088844","61.2560043844096","60.7541704101782","73.1013252499359","62.1869362383961","55.989556615586","58.2744756657506","52.8394319098677","49.8022321913836","50.0719114183969","45.7184119969031","46.152393477237","49.5683697098445","44.8798901687648","42.8265406335218","38.8841565463432","38.7856901033422","40.2765983873899","42.6033349980631","44.8945606568078","46.9123853980322","48.3998644778265","49.2015630214006","47.2184853070945","41.9566831307241","42.3336875987152","48.9863308847905","53.0802129926047","54.7633527667858","39.7273187328312",
"American Samoa","ASM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.765625","109.541984732824","111.984282907662","123.6","129.411764705882","120.656370656371","135.357142857143","82.8148148148148","94.4153577661431","98.7719298245614","100.9375","102.037617554859","108.087091757387","98.8112927191679","95.230998509687","102.287581699346","103.599374021909","94.7530864197531","91.8194640338505",
"Antigua and Barbuda","ATG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2925735482398","88.7235620122403","94.2412071907921","91.4106377880507","87.1048664885426","83.4308627023946","85.6318338698918","74.7669415561133","75.3435432378661","72.2111304648381","77.3958058531227","79.8302238580581","82.7226647356988","87.6254523001321","88.0334043363568","86.1458859912575","71.2892244511517","73.258337121835","69.8784354835559","72.5123925107875","75.6196883297648","73.9535545360788","63.7504952799475","64.2624742831509","66.1295659940356","70.539297286701","68.5254502517371","47.8207235063896",
"Australia","AUS","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","14.0363548814253","14.9985775248933","12.6089156220136","13.809598086622","13.7398833051007","15.2403535244665","15.1035472626615","13.8684520306062","14.4593160579194","13.3101321854871","13.1969655919805","12.9126526164591","11.951252356585","10.9991772190002","13.1911087554245","14.7074091221572","13.3574007220217","14.6255039694085","14.5660075741717","15.3305440739462","15.8814442942653","16.7108457450299","16.8005366166999","15.5968144563307","14.9780601218154","17.2729744195332","18.0473622436846","17.0615815695509","16.6189447339952","16.9536459818821","17.0435698236889","16.1646593599256","16.3885620312744","17.8603748609917","18.4866421783986","19.8468645372738","19.3550949992055","18.8671783006776","20.4489489540488","20.7645380110931","21.5759790365138","22.0981476107222","20.7462091985087","21.1601101543906","19.8630985817615","20.9556895009566","21.730887107436","21.8514033960262","22.7181592717319","22.7474239726832","20.7394819696391","20.4123991993782","21.6727652413249","21.289801061405","21.3759568810043","21.5563387787263","21.5478988311826","20.714437559185","21.5125131175846","21.6753124505454","20.0556726199551",
"Austria","AUT","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","27.4686344277026","27.345116584754","27.3653532253531","27.5374528314848","30.4533625711267","28.5044981022599","31.1637556365578","32.3236395835347","30.5528948869436","32.4364440392413","35.1319340743747","35.3958880212345","32.3756172676103","31.9939859862433","33.8239884504452","35.1618404815936","32.0168828672025","31.447517667927","33.4916238053734","35.5231562390335","35.7909550811009","35.457917424929","34.4748999341367","31.8011526870735","33.8285594524044","34.7234607571822","35.8343950133252","37.8396074770871","38.5761282051164","38.9031024586734","42.0142216659345","42.9191092459869","41.6287818010806","41.8169676971425","43.9251307189084","45.4140534786122","47.2466423435202","48.172384639555","48.8248221152974","41.8548144134358","47.7576359096203","51.154117778086","51.1785012313079","50.625120789651","50.1169562048263","49.3382548303838","48.5756846289351","50.8876917912507","52.4410224118143","52.0360207601889","48.5639349472647",
"Azerbaijan","AZE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2223738062756","41.2050898203593","54.5963776685131","76.028025477707","30.6282092340539","53.4070672040491","55.9211007831369","53.0443593072222","54.5282799511713","41.8558448782814","38.3777368008308","37.3165776205885","50.0503092783505","65.5453718603512","72.718107430072","52.9007785985227","38.758255006348","28.5128964581019","23.4667590165732","23.1082959987641","20.6812669257035","24.0810644752506","25.2883893489114","26.2600116874635","26.2096685368412","34.806730415594","43.6496693432541","41.8544509495606","37.5802826749238","36.7675179068137","36.4676207543054",
"Burundi","BDI","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","13.3928578261662","14.6551729913369","16.3934421622452","14.2857144084702","12.0805373091302","12.534289462699","12.9921803763367","11.8857765527851","13.3668122270742","12.0945742954996","11.6210197230579","14.1716801439181","15.0749696694666","13.3327311322885","15.5339377333162","19.0017705948535","16.6528767491649","17.2914189235808","20.2264008026176","22.7221415213696","23.2920650338144","22.037695696343","26.9074459918851","24.7477597409048","23.5523097883576","20.7869023928065","22.31563049832","25.7386317272753","25.9531832539286","22.9435654028731","27.7751472575537","28.5051827766189","29.4769508903169","27.1610357564277","28.4817585329216","27.278283560511","15.7534012542759","14.4399066511085","19.44027986007","15.9639877031181","16.234753894772","15.784843450019","16.988025225784","20.9948980541304","24.6233698947461","28.9","35.1","31.9999986368881","36.6999993197774","29.2000032854075","29.800003758426","34.2000025536135","33.9999881157879","37.5000131147541","34.1542733940916","26.8089855450836","25.0916348264004","26.9515346026704","29.8090049192121","32.7261686707375","27.9170758155318",
"Belgium","BEL","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","42.7710254837046","41.8166176737447","41.0771607398334","46.1121501660273","52.3777195459097","45.6077121111552","48.2613755680507","48.1702725216395","46.5509597585309","51.6505320431123","52.9381673001875","56.157830087916","59.8220377400948","59.999935931094","63.8183833473908","61.4226586727942","55.0439747012999","54.0513368574141","57.0148633493866","61.3701837443597","59.8541601189252","58.3604828351158","56.2603571698966","52.9049958392791","54.8073406881894","56.2641961032662","58.0203848015116","60.902358975732","60.5347776108893","60.6069310248626","69.6827399089776","67.964880914325","65.2538517924041","63.679044325004","66.0121279012141","70.2462217485879","72.7625122442923","74.1666421724765","80.2078278152436","66.5720368236699","74.14760859514","80.7963607521708","80.3415397228249","78.5264966401955","78.9822068454526","76.3872643576431","78.2354105104266","82.1434260996683","83.2773079285802","81.5322756554439","78.6076343055451",
"Benin","BEN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","12.1102860037387","9.53463213652839","9.95930446110375","11.6258988070834","12.2431651526909","14.9057105712226","16.1960629695616","19.7722662705327","19.0765867798385","21.4285057250714","24.4613236152013","27.8326141260428","26.800149392693","25.9501669628164","29.4946483665807","33.4129820337852","31.0285113990042","34.7807829045215","34.5453644374484","37.0217886787244","37.3221067200717","43.9588716369158","40.0862995442378","31.577722696885","30.9319281707312","36.6485996242477","32.6154967527009","30.9506070946336","32.0830888173539","24.8049383776371","26.5388791344867","30.3422307728013","33.5015977552095","32.917416096905","36.0734606362612","36.4311975077222","30.0189798910533","31.5354950169417","32.5006857471368","31.3822583591138","26.742848952329","28.3885918276674","24.0418117580991","22.9719333073503","21.389426770597","20.6122912074473","21.7167729998912","27.0709310375342","25.6346390032369","24.7746622235924","28.3588118822374","26.3673773087186","26.8399999121001","31.6296265138756","33.8374338168225","32.0358619739087","31.3801402666294","34.2710021769642","34.5209638713176","34.0508051206822","24.9607629492202",
"Burkina Faso","BFA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","15.839404612418","15.7899764009717","15.7059646946391","15.6690091988758","11.5184394568252","11.3766205814937","11.6484883364785","13.9273070528145","15.2873906772355","16.5323946242926","16.1417701889841","19.9310890976094","21.2889996660341","22.9195387310593","24.4729157208656","30.1511163590201","27.0082432329274","30.4432668926016","27.7508292684115","29.2824436783172","31.2625076586155","31.4351136452015","31.6240353150483","29.5741478477064","28.7577920382322","31.0260822887558","28.9711662892219","28.0811295265822","27.1309820899936","23.6458973519231","24.4559590282232","23.3486879839288","19.5275360085764","20.6735406720758","25.0276010932215","26.6069148783492","27.6166925636234","26.6038877818834","28.1316805532505","26.9008102757514","26.2782244851586","22.6140880474318","22.4471572206048","21.1478047493266","24.5993563004511","24.3303222900142","24.1496788527529","23.4311750727081","25.2359899277654","26.507012812169","28.5573896844031","31.3017525842237","34.6405225638741","36.9588658493908","31.8915583395886","32.9815357744638","31.9772079951896","32.8163945669667","32.5167194817269","31.0480551212534","",
