"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3986419309119","14.9866606211009","17.1327192233916","17.5136636772655","15.549271842299","15.8253515750802","15.9113471050335","15.2834244604317","16.7927031509121","17.5977187264979","18.5044103547459","19.5727649769585","18.9801110873745","18.0314000814001","16.175408003577","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","29.6478809935113","30.1638778116016","29.6829583278183","29.9829338146522","30.3571519816586","29.4244680871693","29.2400521576844","29.0216524967709","27.7776799282661","26.5592144448012","25.628987228993","24.1975584485074","23.3465054179758","28.2701586772116","30.0693071211909","28.5252907553336","27.6793796601514","29.66458495034","30.5862855190191","30.034667959955","29.1424546827116","27.8813003493062","28.0019029942108","28.9291880850463","28.5634982935702","29.570529046368","30.3544511934479","26.8016246098589","27.9192359889055","28.7213192488","28.1732996197794","27.5594708996598","27.0815225450719","26.0446350341483","26.6578688388748","26.6613072594732","28.139354345055","28.5579692243205","27.8913378302448",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","14.0316990961127",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","33.3075952025209","30.4870364857681","30.2407238183688","28.2348273787339","30.7468226998019","29.5699590430483","29.5206098252979","28.9129843673308","31.1028174184271","31.6256524331455","32.4307296857171","32.7660667984594","30.3154370246832","29.4758264537297","32.7969732896994","33.214911266438","31.9846163181983","27.1329260762915","28.0345301978429","31.3292963005913","27.2570794303129","23.877970396663","26.0191145884454","28.0793977730515","27.5269888753171","26.7115537891208","25.4346098096989","25.9207849579302","23.163640211132","25.9616857442237","28.5861481744234","28.0505511321151","27.5215094044601","26.8303511973372","22.7087588112193","20.8274198227977","23.9443909417479","26.4888158771814","27.4314454738316","27.4612900191224",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169963887799","54.6299213113549","60.4019934569532","58.109331166465","61.8835378515421","60.2548201250717","44.0563761691749","52.3684348885467","56.026514743024","56.9182197485493","53.3628539821467","46.2033255675024","41.9330926455315","42.643566778715","42.1679535486771","47.9315416320185","49.986772065329","45.9484598219562",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3583670021185","21.2793061291073","20.6082652718018","20.0626466995345",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","58.8867744610402","57.4946068803248","55.2570221511366","52.690030473514","58.7712755354948","61.2112526092415","57.6178244467212","50.4323807975975","45.7005447458528","44.5475904858582","42.4734886796545","37.9382960345374","39.6657976581318","38.4752621927965","40.2151557819188","46.8643386210634","42.0403633807679","44.5118391824972","42.8872547457768","41.3922628544072","42.7705807464006","43.5750623972555","44.4872050592952","40.1249386717264","42.4536836093151","47.8965386546476","45.9759260278119","45.705284233035","47.0430358857243","47.9703153036631","51.2138455521099","52.0548860102498","51.0877287283644","53.6570053684944","45.8086923376785","48.81851598","54.1545668999276","53.8861272773091","51.9359185042672","49.9593696041498","41.236183337652","39.1880852173042","41.2974852065912","44.2586287737981","42.6528283821786","37.1928160434943",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308621988942","58.0355992952437","57.449131719203","55.0061258140395","52.7646083574634","43.8938141693106","41.4486936338511","42.5746249848471","47.0329278956723","44.4596642765206","40.8667704467958",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968312364","47.8061321945614","46.0976480124721","44.0281237958525","41.2196656664295","40.3382267073251","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","24.052388220108","23.3112183791703",
